,Unnamed: 0,field,field2,icon_full,league,team_name,icon_pair,capacity,undergrad_pop,match,id,notes
0,0,Commerica Park - Tigers ,,DET,MLB,Detroit Tigers,DET,"41,083",,Commerica Park - Tigers ,Co133,
1,1,Coors Field - Largest Park in the MLB,,COL,MLB,Colorado Rockies,COL,"50,398",,Coors Field - Largest Park in the  - mlb,Co150,
2,2,Fenway Park - Smallest Park in the MLB,,BOS,MLB,Boston Red Sox,BOS,"37,731",,Fenway Park - Smallest Park in the  - mlb,Fe146,
3,3,Battle Creek - Robert L Nichols Field - muni,2nd field at Bailey Park with MCCU Field,muni,,,,6000,,Robert L Nichols Field (Battle Creek) - muni,Ro181,
4,4,Boyne City County Park Muni,,muni,,,,175,,Boyne City County Park Muni,Bo123,
5,5,Coldwater Heritage Park - muni,,muni,,,,125,,Coldwater Heritage Park - muni,Co155,
6,6,Eaton Park - muni,,muni,,,,110,,Eaton Park - muni,Ea152,
7,7,Hancock Driving Park - Houghton Muni - muni,,muni,,,,465,,Hancock Driving Park - Houghton Muni - muni,Ha194,
8,8,Historic Hamtramck Stadium - muni,,muni,,,,1500,,Historic Hamtramck Stadium - muni,Hi170,
9,9,Historic Marsh Field Muskegon - Muni,,muni,GLSCL,Muskegon Clippers,,1000,,Historic Marsh Field Muskegon - Muni,Hi124,Great Lakes Summer Collegiate League
10,10,Kircher Municipal Field - muni,,muni,,,,500,,Kircher Municipal Field - muni,Ki103,
11,11,Royal Oak Memorial Park - muni,,muni,GLSCL,Royal Oak Leprechauns,,1500,,Royal Oak Memorial Park - muni,Ro198,Great Lakes Summer Collegiate League
12,12,Sanborn Park - Port Huron - muni,,muni,,,,250,,Sanborn Park - Port Huron - muni,Sa144,
13,13,The Corner Ballpark - Detroit - muni,,CORNER,,,,2500,,The Corner Ballpark - Detroit - muni,Th128,
14,14,Westside Park (Lansing) - muni,,muni,,,,200,,Westside Park (Lansing) - muni,We144,
15,15,Whaley Park - Flint - muni,,muni,,,,500,,Whaley Park - Flint - muni,Wh120,
16,16,Dow Diamond (Midland) ,,LOONS,Single-A,Great Lakes Loons,LOONS,5200,,Dow Diamond (Midland) ,Do137,
17,17,Homer Stryker Field (Kalamazoo),,pro,Northwoods,Kalamazoo Growlers,pro,3500,,Homer Stryker Field - (Kalamazoo) ,Ho167,
18,18,Jimmy Johns Stadium (Utica) ,,pro,USPBL,Multiple,pro,4500,,Jimmy Johns Stadium (Utica) ,Ji130,
19,19,Jackson Field (Lansing),,NUTS,Single-A,Lansing Lugnuts,NUTS,9527,,Jackson Field (Lansing) ,Ja131,
20,20,MCCU Field (Battle Creek),,pro,Northwoods,Battle Creek Battle Jacks,pro,2193,,MCCU Field - (Battle Creek) ,MC185,
21,21,Turtle Creek Stadium (Traverse City) ,,pro,Northwoods,Traverse City Pit Spitters,pro,4660,,Turtle Creek Stadium (Traverse City) ,Tu148,
22,22,LMCU Ballpark (Grand Rapids),,CAPS,Single-A,West Michigan Whitecaps ,CAPS,8942,,LMCU Ballpark (Grand Rapids) ,LM134,
23,23,Adrian College,Nicolay Field,adrian,NCAA-3,Adrian Bulldogs,small_coll,300,1805.0,Adrian College,Ad129,
24,24,Albion College ,Champions Stadium,albion,NCAA-3,Albion Britons,small_coll,350,1523.0,Albion College ,Al157,
25,25,Calvin University,Gainey Athletic Complex - Field 1 ,calvin,NCAA-3,Calvin Knights,small_coll,250,3068.0,Calvin University ,Ca139,
26,26,CMU ,Bill Theunissen Stadium,cmu,NCAA-1,Central Michigan Chippawa,cmu,2046,11417.0,CMU ,CM174,
27,27,Cornerstone University,De Witt Field,college,NAIA,Cornerstone Golden Eagles,small_coll,500,1507.0,Northwestern University  ,No101,
28,28,Davenport University ,Farmers Insurance Athletic Complex,davenport,NCAA-2,Davenport Panthers,small_coll,300,4352.0,Davenport University ,Da190,
29,29,EMU ,Oestrike Stadium,emu,NCAA-1,Easter Michigan Eagles,emu,"2,500",12730.0,EMU ,EM135,
30,30,Gainey Athletic Complex - Field 1 ,Calvin University,college,NCAA-3,Calvin Knights,small_coll,250,,Gainey Athletic Complex - Field 1 ,Ga115,
31,31,Gainey Athletic Complex - Field 2 ,Aquinas College,college,NCAA-3,Aquinas College Saints,small_coll,130,,Gainey Athletic Complex - Field 2 ,Ga172,
32,32,GVSU ,GVSU Baseball Field,gvsu,NCAA-2,Grand Valley State Lakers,small_coll,465,19379.0,GVSU ,GV186,
33,33,Hillsdale College ,,hillsdale,NCAA-2,Hillsdale Chargers,small_coll,,1515.0,Hillsdale College ,Hi150,## Building new field . Broke ground Oct 2022
34,34,Hope College,BOEVE BASEBALL STADIUM,hope,NCAA-3,Hope College Flying Dutchman,small_coll,400,3132.0,Hope College,Ho132,
35,35,Kalamazoo College ,Woodworth Field,kzoo,NCAA-3,Kalamazoo College Hornets,small_coll,312,1241.0,Kalamazoo College ,Ka136,
36,36,Alma College,Klenk Park,alma,NCAA-3,Alma College Scots,small_coll,150,1340.0,Klenk Park - (Alma College) ,Kl134,
37,37,McLane Stdium at Old College Field (MSU),McLane Stdium at Old College Field (MSU),msu,NCAA-1,Michigan State Spartans,msu,2500,38574.0,Old College Field (MSU) ,Ol184,
