School,Mascot,Colors,Class (enrollment),City,County,Year joined,Previous league,conference,"('Team', 'Blue Division')","('Class', 'Blue Division')","('Enrollment', 'Blue Division')","('Joined', 'Blue Division')","('City', 'Blue Division')","('County', 'Blue Division')","('Previous Conference', 'Blue Division')","('conference', '')","('Catholic High School League', 'School')","('Catholic High School League', 'Location')","('Catholic High School League', 'Enrollment[1]')","('Catholic High School League', 'Class')","('Catholic High School League', 'Nickname')","('Catholic High School League', 'Colors')","('Catholic High School League', 'Gender')","('Catholic High School League', 'Established')",Nickname,Enrollment,Class,Team[1],Location,Joined,Previous Conference,"('Team', 'West Division')","('Location', 'West Division')","('Enrollment', 'West Division')","('Joined', 'West Division')","('Previous Conference', 'West Division')",Affiliation,Year Admitted,Division,"('School', 'North Division')","('Nickname', 'North Division')","('Location', 'North Division')","('Joined', 'North Division')","('Previous Conference', 'North Division')","('Unnamed: 5_level_0', 'North Division')","('Unnamed: 6_level_0', 'North Division')","('School', 'Red Division')","('Nickname', 'Red Division')","('Location', 'Red Division')","('Joined', 'Red Division')","('Enrollment', 'Red Division')","('Class', 'Red Division')","('Colors', 'Red Division')","('Previous Conference', 'Red Division')",School[1],Year Joined,District Website,0,1,2,3,4,5,6,7,Sports Division,Football Division,Team,Address,Unnamed: 5,Unnamed: 6,Unnamed: 7,School[3],Enrollment[a],Year Joined [2],School[5],MHSAAClass,Team & Mascot,Boys Champ,Girls Champ,Total Champ,Year,Conference Champion(s),Year.1,Conference Champion(s).1,Year.2,Conference Champion(s).2,Year.3,Conference Champion(s).3
Alpena High School[2],Wildcats,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{},"A (1,147)",Alpena,Alpena,1997,Great Lakes Athletic Conference,Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac High School[3],Vikings,,A (859),Cadillac,Wexford,1997,North Central Conference,Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaylord High School[4],Blue Devils,,A (961),Gaylord,Otsego,1997,Michigan Huron Shores Conference,Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petoskey High School[5],Northmen,,A (984),Petoskey,Emmet,1997,Michigan Huron Shores Conference,Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse City Central High School[6],Trojans,,"A (1,461)",Traverse City,Grand Traverse,1997,Great Lakes Athletic Conference,Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse City West Senior High School[7],Titans,,"A (1,650)",Traverse City,Grand Traverse,1997,N/A (new school),Big North Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeWitt Panthers,A,1013,2003,DeWitt,Clinton,Ingham County League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lansing Trojans,A,1119,2003,East Lansing,Ingham,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Ledge Comets,A,1687,2003,Grand Ledge,Eaton,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holt Rams,A,1713,2003,Delhi Township,Ingham,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing Everett Vikings,A,1388,2003,Lansing,Ingham,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing Waverly Warriors,A,1056,2003,Delta Township,Eaton,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okemos Chiefs,A,1437,2003,Meridian Township,Ingham,Capital Circuit League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Division,Red Division,Red Division,Red Division,Red Division,Red Division,Red Division,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fowlerville Gladiators,B,834,2003,Fowlerville,Livingston,Ingham County League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haslett Vikings,A,881,2003,Meridian Township,Ingham,Ingham County League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing Eastern Quakers,B,843,2003,Lansing,Ingham,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Bulldogs,A,964,2003,Mason,Ingham,Capital Circuit League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Johns Redwings,A,938,2005,St. Johns,Clinton,Independent,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamston Hornets,B,621,2003,Williamston,Ingham,Ingham County League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Division,White Division,White Division,White Division,White Division,White Division,White Division,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Orioles,B,780,"2003, 2017",Charlotte,Eaton,Independent,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eaton Rapids Greyhounds,B,763,2003,Eaton Rapids,Eaton,Capital Circuit League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionia Bulldogs,B,844,2003,Ionia,Ionia,Mid-Michigan Athletic Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing Catholic Cougars,B,520,2003,Lansing,Ingham,Capital Circuit League,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing Sexton Big Reds,B,478,2003,Lansing,Ingham,Capital Area Conference,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Raiders,B,580,2007,Portland,Ionia,Mid-Michigan Athletic Conference - B,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Park Cabrini,"Allen Park, Wayne County",265,C,Monarchs,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Blue & Gold,Coed,1960,Catholic High School League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Arbor Father Gabriel Richard,"Ann Arbor, Washtenaw County",536,B,Fighting Irish,Green & White,Coed,1868,Catholic High School League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Arbor Greenhills,"Ann Arbor, Washtenaw County",318,C,Gryphons,Navy & Green,Coed,1969,Catholic High School League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
